zams_mass_1,zams_mass_2,zams_separation_rsun,metallicity,delay_time_myr,mass_1,mass_2,stellar_type_1,stellar_type_2
31.0507,14.948,359.426725037478,0.00021245782310305673,163.0726,9.36633,10.0803,14,14
177.747,20.5054,138.2055227911724,0.0003585464728475101,3997.72953,45.7314,5.47785,14,14
26.7376,19.3583,449.06875531019654,0.0006050875007272942,174.2094,5.86032,9.70087,14,14
28.1042,11.6423,666.2708365997274,0.00021245782310305673,1173.9646,8.42549,6.78382,14,14
32.6378,11.752,182.5018014782945,0.0010211532151708522,118.7697,6.63945,5.58628,14,14
34.306,34.0749,4218.608056705721,0.004908051271653857,9784.71041,12.441,10.7476,14,14
48.6313,22.0703,517.8871721029897,0.004908051271653857,49.57476,6.81512,2.51479,14,14
107.971,34.3563,585.2254997435864,0.0029082809839751293,363.65045,29.2804,6.87771,14,14
46.2665,19.752,166.8521255922674,0.004908051271653857,853.9557,6.09841,2.54574,14,14
39.8399,39.0344,2540.0680275130508,0.0017233109056135083,12714.01578,9.7181,8.38997,14,14
32.6378,16.149,713.3762030598939,0.0003585464728475101,753.9061,10.0243,10.9632,14,14
39.8399,29.9049,3800.4054226213043,0.0029082809839751293,16.43984,10.0819,5.56439,14,14
59.3627,26.9284,317.75284235458076,0.004908051271653857,16.90494,10.5669,2.96193,14,14
51.117,21.1273,137.71508428423132,0.0010211532151708522,499.6044,15.5366,5.1805,14,14
39.8399,37.4233,100.95088812350103,0.00021245782310305673,2699.47704,13.8848,22.8331,14,14
51.117,21.1273,299.480561102358,0.004908051271653857,529.4633,7.61941,2.54962,14,14
41.8762,28.0449,109.10703912482,0.0003585464728475101,10269.91871,13.4508,18.4559,14,14
41.8762,27.4804,2433.489296063289,0.0029082809839751293,356.55796,6.92661,4.42245,14,14
41.8762,24.0931,405.3303636967822,0.0017233109056135083,81.55609,8.48146,7.74124,14,14
34.306,12.3494,361.12909997685693,0.0010211532151708522,182.209,7.91016,6.12239,14,14
34.306,14.6607,798.0852486698346,0.0010211532151708522,151.0151,8.48298,7.80385,14,14
37.9026,26.9194,19597.748224882802,0.00021245782310305673,1586.94659,13.6256,5.78531,14,14
36.0595,26.5837,21649.84002169307,0.004908051271653857,765.99336,13.5266,2.33495,14,14
119.291,52.4472,869.1819875965475,0.013978306065792132,12.71265,2.11713,2.12687,14,14
25.4374,16.3639,542.6898240520674,0.0003585464728475101,319.5992,6.55002,8.41291,14,14
32.6378,31.9782,2655.697019342632,0.0006050875007272942,273.53632,9.90407,8.14064,14,14
37.9026,16.7025,425.2440442829124,0.0017233109056135083,104.9338,7.88856,7.97214,14,14
51.117,30.0897,159.99570227359567,0.0029082809839751293,6248.36581,10.9636,11.3495,14,14
34.306,16.5096,170.8600213396385,0.0006050875007272942,53.5589,8.84843,10.4181,14,14
34.306,17.4341,417.6728626199046,0.0006050875007272942,129.8793,9.54079,11.0554,14,14
23.0236,19.1514,759.3360786122411,0.00021245782310305673,302.8377,7.52347,6.93212,14,14
32.6378,14.8299,233.00660529258224,0.00021245782310305673,45.8177,10.0513,10.2891,14,14
31.0507,10.7654,223.36580003139403,0.0006050875007272942,4742.5028,6.98028,4.05629,14,14
37.9026,29.4736,2156.9380205692964,0.0003585464728475101,1909.54972,12.524,8.3358,14,14
39.8399,17.5533,432.3618013128686,0.0010211532151708522,235.9424,10.207,6.17669,14,14
23.0236,17.6025,1459.5070864492834,0.0010211532151708522,418.7486,7.44868,4.10492,14,14
34.306,15.1229,263.89293149384247,0.00021245782310305673,146.9392,11.3586,11.8842,14,14
251.97,93.7002,119.23706291955398,0.0006050875007272942,1031.527,49.2263,6.22533,14,14
36.0595,13.4633,641.6343267923878,0.0017233109056135083,131.2476,7.28988,6.01654,14,14
24.2005,11.0103,367.3830667153613,0.0003585464728475101,166.9778,4.91293,5.04942,14,14
28.1042,18.4541,3321.4293790434303,0.0006050875007272942,2892.7466,19.1437,2.52131,14,14
31.0507,13.2749,146.10376261861092,0.00021245782310305673,66.1802,8.42429,8.80971,14,14
41.8762,28.6095,170.5336935822392,0.00021245782310305673,19.63064,15.2661,18.3534,14,14
34.306,16.0474,237.6357462957296,0.00012589254117941674,83.3151,11.6895,12.9014,14,14
31.0507,14.1114,1353.1050258260882,0.00012589254117941674,1659.6995,14.3388,7.21228,14,14
76.166,33.5074,72.78241198750864,0.0006050875007272942,4128.13053,27.1289,9.05989,14,14
29.5407,28.1483,1052.3901086166675,0.00012589254117941674,27.24154,16.0854,6.46208,14,14
36.0595,20.2665,113.43625895881445,0.0003585464728475101,1250.1808,8.96604,12.4445,14,14
24.2005,13.2901,419.17901880639744,0.0029082809839751293,7056.792,3.07726,3.57893,14,14
25.4374,17.7335,281.8571954254376,0.00012589254117941674,39.0091,6.50182,9.97524,14,14
31.0507,16.621,325.5247402555496,0.0010211532151708522,93.5271,6.66011,8.08523,14,14
37.9026,37.6472,1437.5402203890228,0.0029082809839751293,2890.71385,6.26278,5.96444,14,14
31.0507,30.8415,1203.8036473956342,0.0006050875007272942,127.36644,7.78941,7.29671,14,14
44.0167,33.631,1450.7250054541103,0.0029082809839751293,4345.08797,7.6825,6.08301,14,14
26.7376,18.6383,320.2129354935722,0.0010211532151708522,200.9652,5.06438,8.03853,14,14
34.306,18.3586,79.51087232151299,0.0003585464728475101,259.778,7.13661,7.79581,14,14
97.7256,32.422,1925.5384079583891,0.0010211532151708522,16.26104,33.3005,12.1081,14,14
46.2665,25.3668,649.4216084975396,0.0029082809839751293,18.98368,8.57195,3.88558,14,14
44.0167,20.5747,322.37176075448025,0.0017233109056135083,534.2779,9.66616,5.99653,14,14
23.0236,17.6025,221.22653340337044,0.0006050875007272942,163.0252,4.16407,7.50577,14,14
25.4374,20.8151,288.41012047778986,0.0003585464728475101,256.0377,5.67793,11.5007,14,14
31.0507,18.294,411.12511557345067,0.0003585464728475101,164.2621,8.71212,11.7021,14,14
31.0507,26.659,6943.809925031717,0.0006050875007272942,1399.10116,24.5694,5.37883,14,14
44.0167,17.6073,93.62012325393592,0.0029082809839751293,24.8541,7.42953,2.25531,14,14
31.0507,21.64,2220.4695982974504,0.0029082809839751293,1192.3948,7.97567,4.93553,14,14
32.6378,31.9782,1524.7084987932626,0.00021245782310305673,30.83906,12.6225,9.71352,14,14
48.6313,20.7586,6608.184762357298,0.0017233109056135083,22.2924,12.6072,2.56937,14,14
31.0507,26.2408,3976.988219981031,0.0006050875007272942,180.52832,24.6075,4.68618,14,14
48.6313,27.9727,4895.603770826406,0.004908051271653857,5612.48842,6.80609,2.66011,14,14
32.6378,10.8726,767.2673127277811,0.0029082809839751293,276.8941,4.50983,3.0858,14,14
48.6313,39.1218,42193.27335253694,0.0017233109056135083,3701.90384,12.6199,8.17516,14,14
24.2005,11.0103,572.6788671637896,0.0010211532151708522,3993.0286,4.31532,4.20236,14,14
31.0507,22.4765,1787.8356898066081,0.00012589254117941674,1049.3762,18.2687,10.0361,14,14
36.0595,20.7524,101.81141130187545,0.0003585464728475101,1422.9726,8.72993,12.1815,14,14
84.1511,42.6935,95.38489481858768,0.0017233109056135083,15.39888,24.6005,5.45857,14,14
48.6313,26.0052,1146.7344042636278,0.0017233109056135083,31.39279,12.5897,16.7621,14,14
44.0167,28.2897,1134.6746013636384,0.004908051271653857,2954.03404,5.47962,3.43362,14,14
34.306,20.2076,2009.8814835050046,0.0010211532151708522,101.732,12.5627,8.33389,14,14
186.832,102.298,531.2877602022927,0.00012589254117941674,245.30009,16.8974,40.9952,14,14
29.5407,13.8258,202.3432967575816,0.00021245782310305673,58.572,7.7838,8.59549,14,14
37.9026,37.1363,1602.63866954005,0.0010211532151708522,122.83593,11.5781,9.67593,14,14
51.117,29.4003,675.2296171029795,0.004908051271653857,8674.69561,7.60444,3.48974,14,14
46.2665,19.752,68.66664685905008,0.0017233109056135083,32.6457,10.9245,3.89569,14,14
39.8399,39.5714,1633.1806773686274,0.0017233109056135083,75.77052,9.26122,8.75297,14,14
28.1042,16.1835,354.91380199243275,0.0010211532151708522,791.2951,5.54803,7.37208,14,14
32.6378,21.8651,2245.639535272125,0.0010211532151708522,1465.4854,12.112,8.90101,14,14
31.0507,30.8415,1679.3831974830305,0.0003585464728475101,491.06061,8.76083,8.22858,14,14
31.0507,14.948,206.3570053153893,0.00012589254117941674,141.3272,8.90577,10.6338,14,14
25.4374,20.8151,231.00102498221082,0.0003585464728475101,45.4549,5.54965,11.1506,14,14
32.6378,10.8726,116.29954306234977,0.00012589254117941674,68.4266,8.11499,2.17429,14,14
28.1042,15.4266,145.22523091177874,0.0003585464728475101,39.1305,6.34001,8.52438,14,14
44.0167,28.8832,815.5679509678412,0.0017233109056135083,533.03872,9.66833,6.6087,14,14
26.7376,24.7578,2751.176967420206,0.00012589254117941674,266.52133,17.2746,4.56549,14,14
113.49,37.6412,141.07002064615665,0.0017233109056135083,12.29334,35.5882,8.90587,14,14
36.0595,14.9211,109.72794335718473,0.00012589254117941674,23.4714,9.60108,6.49355,14,14
34.306,19.2831,736.0545382475058,0.0017233109056135083,1549.2377,7.01156,8.33321,14,14
